label,num_basic_blocks,num_edges,avg_block_size,max_block_size,graph_density,num_loops,cyclomatic_complexity,byte_entropy,opcode_entropy,avg_chunk_entropy,max_chunk_entropy,high_entropy_ratio,unique_opcodes,unique_ratio,crypto_ops_ratio,arithmetic_ratio,logic_ratio,num_instructions,total_api_calls
hmac,11,10,5.181818181818182,10,0.09090909090909091,0,1,4.422489760701083,2.2304643197943586,3.96084416748994,4.139708593344349,0.0,12,0.21052631578947367,0.017543859649122806,0.017543859649122806,0.0,57,5
hmac,30,29,5.2,23,0.03333333333333333,0,1,5.1034338667677215,2.418238362663969,4.23707776217903,4.776503710565654,0.0,19,0.12179487179487179,0.0641025641025641,0.03205128205128205,0.00641025641025641,156,13
hmac,6,5,5.5,8,0.16666666666666666,0,1,4.760741292633938,2.295587369193965,4.34330217466652,4.5945115178198215,0.0,11,0.3333333333333333,0.06060606060606061,0.06060606060606061,0.0,33,4
hmac,13,12,4.461538461538462,14,0.07692307692307693,0,1,4.6007378676958695,2.8405473219981876,4.048016082864525,4.499389062229566,0.0,14,0.2413793103448276,0.1206896551724138,0.1206896551724138,0.0,58,2
hmac,1,0,7.0,7,0.0,0,1,3.7849418274376427,2.1280852788913944,3.7849418274376427,3.7849418274376427,0.0,5,0.7142857142857143,0.0,0.0,0.0,7,0
hmac,9,8,6.333333333333333,13,0.1111111111111111,0,1,4.973459397938573,1.9686873907858282,4.277768305743787,4.58656062872536,0.0,11,0.19298245614035087,0.05263157894736842,0.05263157894736842,0.0,57,6
hmac,4,3,5.5,12,0.25,0,1,4.346897414650478,1.9657678078192218,3.872456362673437,4.102762843709971,0.0,7,0.3181818181818182,0.13636363636363635,0.13636363636363635,0.0,22,3
hmac,5,4,7.8,15,0.2,0,1,4.86681911334006,2.044283552351786,4.056203566845013,4.569909571322961,0.0,10,0.2564102564102564,0.05128205128205128,0.05128205128205128,0.0,39,3
hmac,2,1,8.0,8,0.5,0,1,4.28066751165791,2.5,4.28066751165791,4.28066751165791,0.0,9,0.5625,0.0625,0.0625,0.0,16,1
hmac,9,8,5.444444444444445,21,0.1111111111111111,0,1,4.720277457428411,2.3749855474822708,4.234157221389116,4.405932127238674,0.0,11,0.22448979591836735,0.061224489795918366,0.061224489795918366,0.0,49,2
hmac,4,3,7.25,12,0.25,0,1,4.231995189173759,1.5133757061442124,4.058585800822847,4.084868358901741,0.0,7,0.2413793103448276,0.034482758620689655,0.034482758620689655,0.0,29,3
hmac,14,13,4.0,8,0.07142857142857142,0,1,4.740077480721415,2.286109813192784,4.182037667204742,4.289221963732995,0.0,10,0.17857142857142858,0.017857142857142856,0.017857142857142856,0.0,56,5
hmac,22,21,3.772727272727273,12,0.045454545454545456,0,1,4.999482179383405,2.5286472185794735,4.311978131442116,4.561595993578595,0.0,13,0.1566265060240964,0.03614457831325301,0.024096385542168676,0.012048192771084338,83,6
hmac,19,18,3.8947368421052633,17,0.05263157894736842,0,1,5.045742482303991,2.5026554499436107,4.213144187020179,4.7414791024377445,0.0,14,0.1891891891891892,0.04054054054054054,0.02702702702702703,0.013513513513513514,74,7
hmac,10,9,3.6,6,0.1,0,1,4.751265860329105,2.5192811680378147,3.966104023210583,4.590924852072124,0.0,11,0.3055555555555556,0.027777777777777776,0.027777777777777776,0.0,36,5
hmac,26,25,4.538461538461538,16,0.038461538461538464,0,1,4.901425039171182,2.4937193396737136,4.201678654540566,4.420317267604586,0.0,15,0.1271186440677966,0.06779661016949153,0.06779661016949153,0.0,118,7
hmac,6,5,3.3333333333333335,7,0.16666666666666666,0,1,4.370735264739092,2.4232196723355077,2.6370196530868912,4.2740393061737825,0.0,9,0.45,0.05,0.05,0.0,20,3
